t,latitude,longitude,velocity_x_ref,velocity_y_ref,velocity_z_ref,heading,pitch,roll
4796.0,0.9641494010026426,-0.004523952830826295,-7.928610813129032,-36.394887478280566,0.0,0.9833983417436752,0.000533177745443913,0.08740777419865178
4800.0,0.9641265523624667,-0.004532686711580709,-7.930818816503148,-36.392171640052354,0.0,0.9834944007355267,0.0005342839956616382,0.08740680946508905
4804.0,0.964103705461821,-0.0045414227169526915,-7.933009271418597,-36.389401003503906,0.0,0.983590436050577,0.0005353757526553318,0.0874058558039144
4808.0,0.9640808603346775,-0.004550160827715455,-7.9351823692714785,-36.386576257726844,0.0,0.983686447705042,0.0005364529894546093,0.08740491323340728
4812.0,0.9640580170145753,-0.0045589010248565,-7.937338302536978,-36.38369809281879,0.0,0.9837824357149904,0.0005375156794354069,0.08740398177156063
4816.0,0.9640351755346193,-0.004567643289578766,-7.9394772647650855,-36.38076719986573,0.0,0.9838784000963402,0.0005385637963209246,0.08740306143608016
4820.0,0.96401233592748,-0.004576387603301776,-7.94159945057625,-36.377784270924316,0.0,0.9839743408648602,0.0005395973141821815,0.08740215224438433
4824.0,0.963989498225393,-0.004585133947662775,-7.943705055657021,-36.37474999900414,0.0,0.984070258036167,0.0005406162074389603,0.08740125421360387
4828.0,0.963966662460158,-0.004593882304517869,-7.945794276755634,-36.37166507805001,0.0,0.9841661516257239,0.0005416204508605273,0.08740036736058188
4832.0,0.9639438286631384,-0.0046026326559431485,-7.947867311677564,-36.3685302029242,0.0,0.9842620216488396,0.0005426100195665084,0.08739949170187339
4836.0,0.9639209968652609,-0.004611384984235818,-7.949924359281045,-36.365346069388664,0.0,0.984357868120668,0.000543584889027374,0.08739862725374485
4840.0,0.9638981670970147,-0.0046201392719153155,-7.951965619472549,-36.362113374087265,0.0,0.9844536910562051,0.0005445450350655074,0.08739777403217439
4844.0,0.9638753393884512,-0.004628895501724422,-7.953991293202221,-36.35883281452794,0.0,0.9845494904702893,0.0005454904338557189,0.08739693205285114
4848.0,0.9638525137691832,-0.0046376536566303745,-7.956001582459285,-36.35550508906489,0.0,0.9846452663775995,0.0005464210619260917,0.08739610133117534
4852.0,0.9638296902683847,-0.004646413719825969,-7.957996690267414,-36.35213089688071,0.0,0.9847410187926539,0.0005473368961588017,0.08739528188225804
4856.0,0.9638068689147901,-0.004655175674730659,-7.959976820680049,-36.34871093796854,0.0,0.9848367477298082,0.000548237913790491,0.08739447372092071
4860.0,0.9637840497366936,-0.004663939504991644,-7.961942178775698,-36.34524591311419,0.0,0.9849324532032561,0.0005491240924133787,0.08739367686169534
4864.0,0.9637612327619494,-0.004672705194484965,-7.963892970653181,-36.341736523878225,0.0,0.9850281352270263,0.0005499954099755942,0.08739289131882409
4868.0,0.9637384180179703,-0.004681472727316579,-7.965829403426857,-36.33818347257806,0.0,0.9851237938149808,0.0005508518447822595,0.08739211710625885
4872.0,0.9637156055317281,-0.004690242087823441,-7.967751685221791,-36.33458746227002,0.0,0.9852194289808165,0.0005516933754958073,0.08739135423766169
4876.0,0.9636927953297524,-0.004699013260574571,-7.96966002516891,-36.33094919673141,0.0,0.985315040738061,0.0005525199811368991,0.08739060272640412
4880.0,0.9636699874381307,-0.004707786230372121,-7.9715546334000935,-36.32726938044255,0.0,0.985410629100073,0.0005533316410848404,0.08738986258556711
4884.0,0.9636471818825076,-0.0047165609822524355,-7.973435721043262,-36.32354871856878,0.0,0.9855061940800403,0.0005541283350785375,0.08738913382794108
4888.0,0.9636243786880848,-0.004725337501487106,-7.975303500217392,-36.31978791694251,0.0,0.9856017356909798,0.0005549100432169845,0.08738841646602567
4892.0,0.9636015778796202,-0.004734115773584017,-7.977158184027518,-36.31598768204518,0.0,0.9856972539457337,0.0005556767459598876,0.0873877105120294
4896.0,0.9635787794814278,-0.004742895784288392,-7.978999986559697,-36.31214872098929,0.0,0.9857927488569717,0.0005564284241282886,0.08738701597786985
4900.0,0.9635559835173773,-0.0047516775195838275,-7.980829122875925,-36.30827174150033,0.0,0.9858882204371872,0.0005571650589052872,0.08738633287517335
4904.0,0.9635331900108935,-0.004760460965693326,-7.982645809009032,-36.30435745189875,0.0,0.9859836686986974,0.0005578866318364164,0.08738566121527482
4908.0,0.9635103989849566,-0.004769246109080321,-7.984450261957528,-36.300406561081964,0.0,0.9860790936536415,0.0005585931248306829,0.08738500100921784
4912.0,0.9634876104621009,-0.004778032936449696,-7.9862426996804246,-36.29641977850619,0.0,0.9861744953139796,0.0005592845201606487,0.08738435226775451
4916.0,0.963464824464415,-0.0047868214347488005,-7.988023341092003,-36.29239781416848,0.0,0.9862698736914918,0.0005599608004633919,0.08738371500134527
4920.0,0.9634420410135416,-0.004795611591168453,-7.9897924060565755,-36.28834137858857,0.0,0.9863652287977772,0.0005606219487408786,0.08738308922015867
4924.0,0.9634192601306769,-0.004804403393143945,-7.991550115383185,-36.284251182790825,0.0,0.9864605606442518,0.0005612679483606441,0.0873824749340717
4928.0,0.9633964818365703,-0.00481319682835604,-7.993296690820279,-36.28012793828613,0.0,0.9865558692421482,0.0005618987830562095,0.08738187215266936
4932.0,0.9633737061515243,-0.004821991884731957,-7.99503235505035,-36.27597235705377,0.0,0.9866511546025141,0.0005625144369277472,0.08738128088524469
4936.0,0.963350933095394,-0.0048307885504463586,-7.996757331684537,-36.27178515152334,0.0,0.9867464167362107,0.0005631148944428302,0.08738070114079892
4940.0,0.963328162687587,-0.004839586813922325,-7.998471845257198,-36.26756703455659,0.0,0.9868416556539135,0.0005637001404363218,0.08738013292804105
4944.0,0.9633053949470631,-0.004848386663832328,-8.000176121220438,-36.26331871942932,0.0,0.9869368713661083,0.0005642701601116798,0.08737957625538804
4948.0,0.963282629892334,-0.004857188089099194,-8.001870385938616,-36.25904091981322,0.0,0.9870320638830913,0.0005648249390409007,0.08737903113096472
4952.0,0.9632598675414631,-0.004865991078897064,-8.003554866682801,-36.25473434975775,0.0,0.9871272332149693,0.000565364463165242,0.08737849756260403
4956.0,0.9632371079120651,-0.004874795622652344,-8.005229791625208,-36.25039972367195,0.0,0.9872223793716566,0.0005658887187957209,0.08737797555784634
4960.0,0.9632143510213061,-0.004883601710044653,-8.006895389833593,-36.246037756306336,0.0,0.9873175023628745,0.0005663976926136143,0.0873774651239401
4964.0,0.9631915968859034,-0.0048924093310077615,-8.008551891265611,-36.24164916273472,0.0,0.987412602198151,0.0005668913716708202,0.08737696626784153
4968.0,0.9631688455221248,-0.004901218475730527,-8.010199526763152,-36.23723465833601,0.0,0.9875076788868181,0.0005673697433904403,0.08737647899621466
4972.0,0.963146096945789,-0.004910029134657818,-8.01183852804662,-36.2327949587761,0.0,0.9876027324380124,0.0005678327955671394,0.08737600331543131
4976.0,0.9631233511722652,-0.004918841298491436,-8.013469127709211,-36.22833077998965,0.0,0.987697762860673,0.0005682805163677034,0.08737553923157121
4980.0,0.9631006082164729,-0.004927654958191028,-8.015091559211127,-36.22384283816193,0.0,0.98779277016354,0.0005687128943315077,0.08737508675042188
4984.0,0.9630778680928819,-0.004936470104974998,-8.016706056873767,-36.219331849710656,0.0,0.9878877543551549,0.0005691299183708258,0.08737464587747891
4988.0,0.9630551308155118,-0.004945286730321403,-8.018312855873898,-36.21479853126778,0.0,0.9879827154438575,0.000569531577771188,0.0873742166179457
4992.0,0.9630323963979323,-0.00495410482596885,-8.019912192237774,-36.21024359966134,0.0,0.9880776534377869,0.0005699178621920202,0.08737379897673356
4996.0,0.963009664853263,-0.00496292438391738,-8.021504302835229,-36.20566777189725,0.0,0.9881725683448785,0.000570288761666922,0.08737339295846203
